category,roman_urdu,urdu_script,translated_by_llm,translated_by_google
Health,mujhe chest tightness hai,مجھے سینے میں دباو محسوس ہو رہا ہے,I feel tightness in my chest,I feel pressure in my chest
Health,mera throat dard aur sujan hai,میرا گلا درد اور سوجن ہے,My throat is sore and swollen,My throat is sore and swollen
Health,mujhe pet aur ulti ho rahi hai,مجھے پیٹ اور الٹی ہو رہی ہے,My stomach hurts and I am vomiting,I'm sick to my stomach and vomiting
Health,mera sir aur gardan dard kar rahi hai,میرا سر اور گردن درد کر رہی ہے,My head and neck hurt,My head and neck are hurting
Health,mujhe bukhar aur thakan hai,مجھے بخار اور تھکن ہے,I have a fever and feel tired,I have fever and fatigue
Health,mera badan kamzor hai,میرا بدن کمزور ہے,My body feels weak,My body is weak
Health,mujhe allergy aur rash hai,مجھے الرجی اور خارش ہے,I have an allergy and skin rash,I have allergies and itching
Health,mera pet dard aur gas hai,میرا پیٹ درد اور گیس ہے,My stomach hurts and I have gas,I have stomach pain and gas
Health,mujhe dizziness aur headache hai,مجھے چکر اور سر درد ہے,I feel dizzy and have a headache,I have dizziness and headache
Health,mera sir dard aur thakan hai,میرا سر درد اور تھکن ہے,My head hurts and I feel tired,I have a headache and fatigue
Health,mujhe chest aur peeth dard hai,مجھے سینے اور پیٹھ درد ہے,I have chest and back pain,I have chest and back pain
Health,mera gala laal aur sujan hai,میرا گلا لال اور سوجن ہے,My throat is red and swollen,My throat is red and swollen
Health,mujhe nausea aur dizziness hai,مجھے متلی اور چکر ہیں,I feel nauseous and dizzy,I have nausea and dizziness
Health,mera haath aur pair dard kar rahe hain,میرے ہاتھ اور پیر درد کر رہے ہیں,My hands and legs hurt,My hands and feet are hurting
Health,mujhe mild cough hai,مجھے ہلکی کھانسی ہے,I have a mild cough,I have a mild cough
Health,mera sir tez aur ghoom raha hai,میرا سر تیز اور گھوم رہا ہے,My head is throbbing and spinning,My head is pounding and spinning
Health,mujhe thodi khansi aur gala dard hai,مجھے تھوڑی کھانسی اور گلے میں درد ہے,I have a mild cough and sore throat,I have a slight cough and a sore throat
Health,mera pet aur kamar dard hai,میرا پیٹ اور کمر درد ہے,My stomach and back hurt,I have stomach and back pain
Health,mujhe thakan aur nausea hai,مجھے تھکن اور متلی ہے,I feel tired and nauseous,I am tired and nauseous
Health,mera badan dard aur muscle pain hai,میرا بدن درد اور پٹھوں میں درد ہے,My body hurts and I have muscle pain,I have body aches and muscle aches
Health,mujhe chest pain aur shortness of breath hai,مجھے سینے میں درد اور سانس لینے میں مشکل ہے,I have chest pain and difficulty breathing,I have chest pain and difficulty breathing
Health,mera sir aur badan dard hai,میرا سر اور بدن درد ہے,My head and body hurt,My head and body ache
Health,mujhe mild fever aur headache hai,مجھے ہلکا بخار اور سر درد ہے,I have a mild fever and headache,I have mild fever and headache
Health,mera gala aur throat irritation hai,میرا گلا اور گلے میں جلن ہے,My throat is sore and irritated,My throat and throat are irritated
Health,mujhe stomach ache aur vomiting hai,مجھے پیٹ درد اور الٹی ہے,My stomach hurts and I am vomiting,I have stomach pain and vomiting
Health,mera badan weak aur thak gaya hai,میرا بدن کمزور اور تھک گیا ہے,My body is weak and tired,My body is weak and tired
Health,mujhe skin allergy aur rash hai,مجھے جلد کی الرجی اور خارش ہے,I have a skin allergy and rash,I have skin allergies and itching
Health,mera throat aur chest dard hai,میرا گلا اور سینہ درد کر رہا ہے,My throat and chest hurt,My throat and chest are hurting
Health,mujhe mild cough aur throat irritation hai,مجھے ہلکی کھانسی اور گلے میں جلن ہے,I have a mild cough and throat irritation,I have mild cough and sore throat
Health,mera sir aur badan dard aur nausea hai,میرا سر اور بدن درد اور متلی ہے,My head and body hurt and I feel nauseous,I have headache and body ache and nausea
Health,mujhe mild fever aur throat pain hai,مجھے ہلکا بخار اور گلے میں درد ہے,I have a mild fever and throat pain,I have mild fever and sore throat
Health,mera haath aur pair dard aur weakness hai,میرا ہاتھ اور پیر درد اور کمزوری ہے,My hands and legs hurt and feel weak,My hands and feet are sore and weak
Health,mujhe dizziness aur fatigue hai,مجھے چکر اور تھکن ہے,I feel dizzy and fatigued,I feel dizzy and tired
Health,mera sir aur throat dard hai,میرا سر اور گلا درد کر رہا ہے,My head and throat hurt,My head and throat are hurting
Health,mujhe mild fever aur fatigue hai,مجھے ہلکا بخار اور تھکن ہے,I have a mild fever and fatigue,I have a mild fever and fatigue
Health,mujhe nausea aur mild headache hai,مجھے متلی اور ہلکا سر درد ہے,I feel nauseous and have a mild headache,I have nausea and a slight headache
Health,mera pet aur throat sujan hai,میرا پیٹ اور گلا سوجن ہے,My stomach and throat are swollen,My stomach and throat are swollen
Health,mujhe mild cough aur chest tightness hai,مجھے ہلکی کھانسی اور سینے میں دباو ہے,I have a mild cough and feel tightness in my chest,I have mild cough and chest tightness
Health,mera sir dard aur fatigue hai,میرا سر درد اور تھکن ہے,My head hurts and I feel fatigued,I have a headache and fatigue
Health,mujhe mild allergy aur skin irritation hai,مجھے ہلکی الرجی اور جلد میں جلن ہے,I have a mild allergy and skin irritation,I have mild allergies and skin irritation
Health,mera throat aur chest dard aur sujan hai,میرا گلا اور سینہ درد اور سوجن ہے,My throat and chest hurt and are swollen,My throat and chest are sore and swollen
Health,mujhe nausea aur dizziness aur thakan hai,مجھے متلی اور چکر اور تھکن ہے,I feel nauseous dizzy and tired,I have nausea and dizziness and fatigue
Health,mera badan bohat weak aur sore hai,میرا بدن بہت کمزور اور درد کر رہا ہے,My body is very weak and sore,My body is very weak and aching
Health,mujhe mild headache aur chest pain hai,مجھے ہلکا سر درد اور سینے میں درد ہے,I have a mild headache and chest pain,I have a mild headache and chest pain
Health,mera pet aur back dard aur gas hai,میرا پیٹ اور پیٹھ درد اور گیس ہے,My stomach and back hurt and I have gas,I have stomach and back pain and gas
Health,mujhe throat irritation aur mild cough hai,مجھے گلے میں جلن اور ہلکی کھانسی ہے,I have throat irritation and a mild cough,I have a sore throat and a mild cough
Health,mera haath aur pair dard aur sujan aur weakness hai,میرا ہاتھ اور پیر درد، سوجن اور کمزوری ہے,My hands and legs hurt are swollen and weak,"My hands and feet have pain, swelling and weakness"
Health,mera gala jalan aur dard kar raha hai,میرا گلا جل رہا ہے اور درد کر رہا ہے,My throat is burning and sore,My throat is burning and aching
Health,mujhe bukhar ke sath sardee lag rahi hai,مجھے بخار کے ساتھ سردی لگ رہی ہے,I have a fever and feel cold,I have chills with fever
Health,mera sir bohot ghoom raha hai,میرا سر بہت گھوم رہا ہے,My head is spinning a lot,My head is spinning a lot
Health,mujhe thodi chakkar aur ulti ho rahi hai,مجھے تھوڑے چکر اور الٹی ہو رہی ہے,I feel a little dizzy and vomiting,I feel a little dizzy and nauseous
Health,mera badan bohot thak gaya hai,میرا بدن بہت تھک گیا ہے,My body is extremely tired,My body is very tired
Health,mujhe aankhon mein jalan aur laalima hai,میری آنکھوں میں جلن اور لالی ہے,My eyes are irritated and red,My eyes are burning and red
Health,mera pet phool gaya hai aur dard ho raha hai,میرا پیٹ پھول گیا ہے اور درد کر رہا ہے,My stomach is bloated and painful,My stomach is swollen and painful
Health,mujhe gala khushk aur kharash hai,مجھے گلا خشک اور خراش ہے,My throat is dry and itchy,I have a dry and scratchy throat
Health,mera sir dard aur nausea ho raha hai,میرا سر درد اور متلی ہو رہی ہے,My head hurts and I feel nauseous,I'm getting headaches and nausea
Health,mujhe chest mein dard aur tightness hai,مجھے سینے میں درد اور دباو ہے,I have chest pain and tightness,I have chest pain and pressure
Health,mera haath aur pair thak gaye hain,میرے ہاتھ اور پیر تھک گئے ہیں,My hands and legs feel tired,My hands and feet are tired
Health,mujhe pet mein gas aur acidity hai,مجھے پیٹ میں گیس اور تیزابیت ہے,I have gas and acidity in my stomach,I have stomach gas and acidity
Health,mera gala bohot sujan aur dard kar raha hai,میرا گلا بہت سوجن اور درد کر رہا ہے,My throat is very swollen and sore,My throat is very swollen and sore
Health,mujhe allergy aur skin rash ho gaya hai,مجھے الرجی اور جلد پر خارش ہو گئی ہے,I have an allergy and a skin rash,I have developed allergies and skin rashes
Health,mera sir tez aur ghumm raha hai,میرا سر تیز اور گھوم رہا ہے,My head is throbbing and spinning,My head is pounding and spinning
Health,mujhe mild bukhar aur thakan hai,مجھے ہلکا بخار اور تھکن ہے,I have a mild fever and fatigue,I have a mild fever and fatigue
Health,mera pet aur kamar dard kar raha hai,میرا پیٹ اور کمر درد کر رہا ہے,My stomach and back hurt,My stomach and back are hurting
Health,mujhe thodi chakkar aur muscle pain hai,مجھے تھوڑے چکر اور پٹھوں میں درد ہے,I feel slightly dizzy and have muscle pain,I have slight dizziness and muscle aches
Health,mera gala laal aur jalan hai,میرا گلا لال اور جل رہا ہے,My throat is red and burning,My throat is red and burning
Health,mujhe bukhar ke sath nausea ho raha hai,مجھے بخار کے ساتھ متلی ہو رہی ہے,I have a fever and feel nauseous,I am having nausea with fever
Health,mera badan weak aur thak gaya hai,میرا بدن کمزور اور تھک گیا ہے,My body feels weak and exhausted,My body is weak and tired
Health,mujhe thodi khansi aur gala khushk hai,مجھے تھوڑی کھانسی اور گلا خشک ہے,I have a mild cough and dry throat,I have a slight cough and dry throat
Health,mera sir dard aur aankh laal hai,میرا سر درد اور آنکھ لال ہے,My head hurts and my eye is red,I have a headache and red eye
Health,mujhe throat irritation aur chest pain hai,مجھے گلے میں جلن اور سینے میں درد ہے,I have throat irritation and chest pain,I have a sore throat and chest pain
Health,mera pet dard aur vomiting ho rahi hai,میرا پیٹ درد اور الٹی ہو رہی ہے,My stomach hurts and I am vomiting,I have stomach ache and vomiting
Health,mujhe dizziness aur weakness hai,مجھے چکر اور کمزوری ہے,I feel dizzy and weak,I have dizziness and weakness
Health,mera sir aur gardan stiff aur dard kar rahi hai,میرا سر اور گردن سخت اور درد کر رہی ہے,My head and neck are stiff and sore,My head and neck are stiff and aching
Health,mujhe allergy aur sneezing ho rahi hai,مجھے الرجی اور چھینکیں آ رہی ہیں,I have an allergy and am sneezing,I have allergies and sneezing
Health,mera haath aur pair sujan aur dard kar rahe hain,میرے ہاتھ اور پیر سوجن اور درد کر رہے ہیں,My hands and legs are swollen and sore,My hands and feet are swollen and aching
Health,mera badan aur pet dard aur thakan hai,میرا بدن اور پیٹ درد اور تھکن ہے,My body and stomach hurt and I feel tired,My body and stomach are aching and tired
Health,mujhe nausea aur mild cough hai,مجھے متلی اور ہلکی کھانسی ہے,I feel nauseous and have a mild cough,I have nausea and a mild cough
Health,mujhe muscle cramps aur fatigue hai,مجھے پٹھوں میں کھچاؤ اور تھکن ہے,I have muscle cramps and feel fatigued,I have muscle cramps and fatigue
Health,mujhe dizziness aur chest tightness hai,مجھے چکر اور سینے میں دباو ہے,I feel dizzy and tightness in my chest,I have dizziness and chest tightness
Health,mera sir aur badan dard aur fatigue hai,میرا سر اور بدن درد اور تھکن ہے,My head and body hurt and I feel fatigued,My head and body are aching and tired
Health,mujhe throat pain aur swallowing problem hai,مجھے گلے میں درد اور نگلنے میں مشکل ہے,I have throat pain and difficulty swallowing,I have a sore throat and difficulty swallowing
Health,mera badan weak aur sore hai,میرا بدن کمزور اور درد کر رہا ہے,My body feels weak and sore,My body is weak and aching
Health,mujhe mild allergy aur skin irritation hai,مجھے ہلکی الرجی اور جلد میں جلن ہے,I have mild allergy and skin irritation,I have mild allergies and skin irritation
Health,mera sir aur gala dard aur irritation hai,میرا سر اور گلا درد اور جلن ہے,My head and throat hurt and are irritated,My head and throat ache and burn
Health,mujhe nausea aur vomiting hai,مجھے متلی اور الٹی ہے,I feel nauseous and am vomiting,I have nausea and vomiting
Health,mera pet aur throat sujan aur dard hai,میرا پیٹ اور گلا سوجن اور درد کر رہا ہے,My stomach and throat are swollen and sore,My stomach and throat are swollen and sore
Health,mujhe fatigue aur dizziness hai,مجھے تھکن اور چکر ہیں,I feel tired and dizzy,I have fatigue and dizziness
Health,mera sir aur throat dard aur mild fever hai,میرا سر اور گلا درد اور ہلکا بخار ہے,My head and throat hurt and I have a mild fever,I have a headache and sore throat and a slight fever
Health,mujhe chest tightness aur shortness of breath hai,مجھے سینے میں دباو اور سانس لینے میں مشکل ہے,I feel tightness in my chest and difficulty breathing,I have chest tightness and difficulty breathing
Health,mera badan aur muscles dard aur weakness hai,میرا بدن اور پٹھوں میں درد اور کمزوری ہے,My body and muscles hurt and feel weak,I have pain and weakness in my body and muscles
Health,mera sir aur pet dard aur nausea hai,میرا سر اور پیٹ درد اور متلی ہے,My head and stomach hurt and I feel nauseous,I have a headache and stomachache and nausea
Health,mera haath aur pair dard aur weakness hai,میرے ہاتھ اور پیر درد اور کمزوری ہے,My hands and legs hurt and feel weak,I have pain and weakness in my hands and feet
Health,mera haath aur pair dard aur sujan aur weakness hai,میرے ہاتھ اور پیر درد، سوجن اور کمزوری ہے,My hands and legs hurt are swollen and weak,"I have pain, swelling and weakness in my hands and feet"
Health,mujhe gala mein jalan aur kharash hai,مجھے گلے میں جلن اور خراش ہے,My throat is burning and itchy,I have a burning and sore throat
Health,mera sir bhari aur dard kar raha hai,میرا سر بھاری اور درد کر رہا ہے,My head feels heavy and hurts,My head is heavy and aching
Health,mujhe pet mein tez dard ho raha hai,مجھے پیٹ میں تیز درد ہو رہا ہے,I have sharp stomach pain,I have a sharp stomach ache
Health,mera badan thoda kamzor mehsoos ho raha hai,میرا بدن تھوڑا کمزور محسوس ہو رہا ہے,My body feels slightly weak,My body is feeling a little weak
Health,mujhe aankhon mein jalan aur pani aa raha hai,میری آنکھوں میں جلن اور پانی آ رہا ہے,My eyes are burning and watering,My eyes are burning and watering
Health,mera haath aur pair bohot thak gaye hain,میرے ہاتھ اور پیر بہت تھک گئے ہیں,My hands and legs are very tired,My hands and feet are very tired
Health,mujhe thodi ulti aur chakkar aa rahe hain,مجھے تھوڑی الٹی اور چکر آ رہے ہیں,I am slightly vomiting and dizzy,I feel a little nauseous and dizzy
Health,mera gala sujan aur khushk hai,میرا گلا سوجن اور خشک ہے,My throat is swollen and dry,My throat is sore and dry
Health,mujhe sardee aur gala dard hai,مجھے سردی اور گلا درد ہے,I have a cold and sore throat,I have a cold and a sore throat
Health,mera pet phool gaya aur dard ho raha hai,میرا پیٹ پھول گیا اور درد کر رہا ہے,My stomach is bloated and painful,My stomach is bloated and hurting
Health,mujhe aankhon mein laalima aur jalan hai,میری آنکھوں میں لالی اور جلن ہے,My eyes are red and burning,My eyes are red and irritated
Health,mera badan dard aur thak gaya hai,میرا بدن درد اور تھک گیا ہے,My body hurts and feels tired,My body is sore and tired
Health,mera sir tez dard aur dizziness hai,میرا سر تیز درد اور چکر ہے,My head hurts sharply and I feel dizzy,I have a sharp headache and dizziness
Health,mujhe chest tightness aur mild pain hai,مجھے سینے میں دباو اور ہلکا درد ہے,I feel tightness and mild pain in my chest,I have chest tightness and mild pain
Health,mera haath sujan aur dard kar raha hai,میرا ہاتھ سوجن اور درد کر رہا ہے,My hand is swollen and sore,My hand is swollen and painful
Health,mujhe pet mein gas aur mild acidity hai,مجھے پیٹ میں گیس اور ہلکی تیزابیت ہے,I have gas and mild acidity in my stomach,I have stomach gas and mild acidity
Health,mera gala kharash aur jalan kar raha hai,میرا گلا خراش اور جل رہا ہے,My throat is itchy and burning,My throat is sore and burning
Health,mujhe muscle cramps aur fatigue ho rahi hai,مجھے پٹھوں میں کھچاؤ اور تھکن ہو رہی ہے,I have muscle cramps and feel fatigued,I have muscle cramps and fatigue
Health,mera pet aur kamar dard aur stiffness hai,میرا پیٹ اور کمر درد اور سختی ہے,My stomach and back hurt and feel stiff,I have stomach and back pain and stiffness
Health,mujhe dizziness aur nausea ho rahi hai,مجھے چکر اور متلی ہو رہی ہے,I feel dizzy and nauseous,I feel dizzy and nauseous
Health,mera sir bohot tez aur thoda ghoom raha hai,میرا سر بہت تیز اور تھوڑا گھوم رہا ہے,My head is very throbbing and slightly spinning,My head is very fast and spinning a little
Health,mera badan aur muscles dard aur kamzori hai,میرا بدن اور پٹھوں میں درد اور کمزوری ہے,My body and muscles hurt and feel weak,I have pain and weakness in my body and muscles
Health,mujhe chest aur throat pain aur sujan hai,مجھے سینے اور گلے میں درد اور سوجن ہے,My chest and throat hurt and are swollen,I have chest and throat pain and swelling
Health,mera pet aur back dard aur bloating hai,میرا پیٹ اور پیٹھ درد اور پھولا ہوا ہے,My stomach and back hurt and are bloated,My stomach and back are sore and bloated
Health,mujhe mild fever aur dizziness hai,مجھے ہلکا بخار اور چکر ہیں,I have a mild fever and feel dizzy,I have a mild fever and dizziness
Health,mera sir aur aankh dard aur laal hai,میرا سر اور آنکھ درد اور لال ہے,My head and eye hurt and are red,My head and eyes are sore and red
Health,mera throat aur chest tightness aur pain hai,میرا گلا اور سینہ دباو اور درد کر رہا ہے,My throat and chest feel tight and sore,My throat and chest are tight and aching
Health,mujhe fatigue aur muscle weakness hai,مجھے تھکن اور پٹھوں میں کمزوری ہے,I feel fatigued and have weak muscles,I have fatigue and muscle weakness
Health,mera badan bohot weak aur dard kar raha hai,میرا بدن بہت کمزور اور درد کر رہا ہے,My body is very weak and sore,My body is very weak and aching
Health,mera pet aur stomach pain aur nausea hai,میرا پیٹ اور معدے میں درد اور متلی ہے,My stomach and abdominal area hurt and I feel nauseous,I have stomach and stomach pain and nausea
Health,mujhe dizziness aur chest pain hai,مجھے چکر اور سینے میں درد ہے,I feel dizzy and have chest pain,I have dizziness and chest pain
Health,mera sir aur gardan stiffness aur pain hai,میرا سر اور گردن سختی اور درد کر رہی ہے,My head and neck are stiff and sore,My head and neck are stiff and aching
Health,mera haath aur pair dard aur swelling hai,میرے ہاتھ اور پیر درد اور سوجن ہیں,My hands and legs hurt and are swollen,My hands and feet are sore and swollen
Health,mera badan aur stomach pain aur thakan hai,میرا بدن اور پیٹ درد اور تھکن ہے,My body and stomach hurt and I feel tired,My body and stomach are aching and tired
Health,mera throat aur chest pain aur swelling hai,میرا گلا اور سینہ درد اور سوجن ہے,My throat and chest hurt and are swollen,My throat and chest are sore and swollen
Health,mera pet aur back pain aur gas hai,میرا پیٹ اور پیٹھ درد اور گیس ہے,My stomach and back hurt and I have gas,I have stomach and back pain and gas
Health,mujhe gala kharash aur halka bukhar hai,مجھے گلے میں خراش اور ہلکا بخار ہے,My throat is itchy and I have a mild fever,I have a sore throat and a mild fever
Health,mera sir tez dard aur aankh laal hai,میرا سر تیز درد اور آنکھ لال ہے,My head hurts sharply and my eye is red,My head hurts and my eyes are red
Health,mujhe pet mein jalan aur acidity hai,مجھے پیٹ میں جلن اور تیزابیت ہے,I have stomach burning and acidity,I have heartburn and acidity
Health,mera badan thak gaya aur kamzor hai,میرا بدن تھک گیا اور کمزور ہے,My body is tired and weak,My body is tired and weak
Health,mujhe gala sujan aur gala dard hai,مجھے گلا سوجن اور گلا درد ہے,My throat is swollen and sore,I have sore throat and sore throat
Health,mujhe aankhon mein laalima aur thakan hai,میری آنکھوں میں لالی اور تھکن ہے,My eyes are red and I feel tired,My eyes are red and tired
Health,mujhe chest mein jalan aur tightness hai,مجھے سینے میں جلن اور دباو ہے,I have burning and tightness in my chest,I have heartburn and pressure
Health,mujhe muscle pain aur fatigue ho rahi hai,مجھے پٹھوں میں درد اور تھکن ہو رہی ہے,I have muscle pain and feel fatigued,I have muscle aches and fatigue
Health,mujhe mild fever aur nausea hai,مجھے ہلکا بخار اور متلی ہے,I have a mild fever and feel nauseous,I have a mild fever and nausea
Health,mujhe dizziness aur thakan hai,مجھے چکر اور تھکن ہے,I feel dizzy and tired,I feel dizzy and tired
Health,mera sir aur gala dard hai,میرا سر اور گلا درد کر رہا ہے,My head and throat hurt,My head and throat are hurting
Health,mujhe gala jalan aur halka dard hai,مجھے گلے میں جلن اور ہلکا درد ہے,My throat is burning and slightly sore,I have a sore throat and mild pain
Health,mera sir tez dard aur halka chakkar hai,میرا سر تیز درد اور ہلکا چکر ہے,My head hurts sharply and I feel slightly dizzy,I have a sharp headache and slight dizziness
Health,mujhe pet mein sujan aur jalan hai,مجھے پیٹ میں سوجن اور جلن ہے,My stomach is swollen and burning,I have bloating and heartburn
Health,mera badan thodi kamzori aur thakan mehsoos kar raha hai,میرا بدن تھوڑی کمزوری اور تھکن محسوس کر رہا ہے,My body feels a little weak and tired,My body is feeling a little weak and tired
Health,mujhe gala sujan aur kharash hai,مجھے گلا سوجن اور خراش ہے,My throat is swollen and itchy,I have a sore throat and a sore throat
Health,mera haath aur pair dard aur sujan kar rahe hain,میرے ہاتھ اور پیر درد اور سوجن کر رہے ہیں,My hands and legs are sore and swollen,My hands and feet are sore and swollen
Health,mujhe aankhon mein jalan aur thakan hai,میری آنکھوں میں جلن اور تھکن ہے,My eyes are burning and I feel tired,My eyes are burning and tired
Health,mera pet phool gaya aur mild dard hai,میرا پیٹ پھول گیا اور ہلکا درد ہے,My stomach is bloated and slightly painful,My stomach is bloated and has mild pain
Health,mujhe chest mein jalan aur halka tightness hai,مجھے سینے میں جلن اور ہلکا دباو ہے,I have burning and slight tightness in my chest,I have heartburn and mild pressure
Health,mera sir aur gardan stiffness aur halka dard hai,میرا سر اور گردن سختی اور ہلکا درد کر رہی ہے,My head and neck are stiff and slightly sore,My head and neck are stiff and aching slightly
Health,mujhe muscle cramps aur thakan ho rahi hai,مجھے پٹھوں میں کھچاؤ اور تھکن ہو رہی ہے,I have muscle cramps and feel fatigued,I have muscle cramps and fatigue
Health,mera badan weak aur dard kar raha hai,میرا بدن کمزور اور درد کر رہا ہے,My body feels weak and sore,My body is weak and aching
Health,mera badan bohot weak aur sore hai,میرا بدن بہت کمزور اور درد کر رہا ہے,My body is very weak and sore,My body is very weak and aching
Health,mujhe gardan mein dard aur stiffness hai,میری گردن میں درد اور سختی ہے,I have neck pain and stiffness,I have pain and stiffness in my neck
Health,mera sir bhari aur aankhon mein tez dard hai,میرا سر بھاری اور آنکھوں میں تیز درد ہے,My head feels heavy and my eyes hurt sharply,My head is heavy and my eyes are sore
Health,mujhe peeth aur kamar mein dard ho raha hai,مجھے پیٹھ اور کمر میں درد ہو رہا ہے,My back and waist hurt,I have back and back pain
Health,mera gala sujan aur halka jalan hai,میرا گلا سوجن اور ہلکا جلن ہے,My throat is swollen and slightly burning,My throat is swollen and mildly irritated
Health,mujhe pairon mein sujan aur thakan hai,میرے پیروں میں سوجن اور تھکن ہے,My legs are swollen and tired,I have swelling and fatigue in my feet
Health,mera haath dard aur numbness kar raha hai,میرا ہاتھ درد اور سنسناہٹ کر رہا ہے,My hand hurts and feels numb,My hand is aching and tingling
Health,mujhe aankhon mein jalan aur dryness hai,میری آنکھوں میں جلن اور خشکی ہے,My eyes are burning and dry,My eyes are irritated and dry
Health,mera pet aur peth dard aur bloating hai,میرا پیٹ اور معدہ درد اور پھولا ہوا ہے,My stomach and abdomen hurt and are bloated,My stomach and abdomen are sore and bloated
Health,mujhe chest mein tightness aur mild pain hai,مجھے سینے میں دباو اور ہلکا درد ہے,I feel tightness and mild pain in my chest,I have chest tightness and mild pain
Health,mera sir aur gala dard aur thakan hai,میرا سر اور گلا درد اور تھکن ہے,My head and throat hurt and I feel tired,I have a headache and sore throat and fatigue
Health,mujhe muscle cramps aur soreness hai,مجھے پٹھوں میں کھچاؤ اور درد ہے,I have muscle cramps and soreness,I have muscle cramps and pain
Health,mera badan weak aur stiffness mehsoos kar raha hai,میرا بدن کمزور اور سخت محسوس کر رہا ہے,My body feels weak and stiff,My body feels weak and stiff
Health,mujhe throat irritation aur mild hoarseness hai,مجھے گلے میں جلن اور ہلکی بھراوٹ ہے,I have throat irritation and mild hoarseness,I have a sore throat and mild congestion
Health,mujhe nausea aur mild vomiting ho rahi hai,مجھے متلی اور ہلکی الٹی ہو رہی ہے,I feel nauseous and slightly vomiting,I am having nausea and mild vomiting
Health,mera haath aur pair thak gaye hain aur dard kar rahe hain,میرے ہاتھ اور پیر تھک گئے ہیں اور درد کر رہے ہیں,My hands and legs are tired and sore,My hands and feet are tired and aching
Health,mujhe mild fever aur fatigue ho rahi hai,مجھے ہلکا بخار اور تھکن ہو رہی ہے,I have a mild fever and feel fatigued,I have a slight fever and fatigue
Health,mujhe gala aur naak band hai aur thodi kharash hai,میرا گلا اور ناک بند ہے اور تھوڑی خراش ہے,My throat and nose are congested and slightly itchy,My throat and nose are blocked and a little scratchy
Food,khana bohot mazedar tha,کھانا بہت مزیدار تھا,The food was very delicious,The food was very delicious
Food,meri chai bohot garam hai,میری چائے بہت گرم ہے,My tea is very hot,My tea is very hot
Food,mein ne sabzi aur roti khayi,میں نے سبزی اور روٹی کھائی,I ate vegetables and bread,I ate vegetables and bread
Food,mujhe pizza ka taste bohot acha laga,مجھے پیزا کا ذائقہ بہت اچھا لگا,I really liked the taste of the pizza,I liked the taste of the pizza
Food,meri coffee thodi kadwi hai,میری کافی تھوڑی کڑوی ہے,My coffee is slightly bitter,My coffee is a little bitter
Food,mein ne dahi aur paratha khaya,میں نے دہی اور پراٹھا کھایا,I ate yogurt and flatbread,I ate curd and paratha
